id,name,description,option_type,is_pricing_relevant,sku_abbreviation,ebay_variation_enabled,price_cents,placeholder_token
2,Rear-Amp Handle,,handle_location,0,,false,0,
3,Top-Amp-Handle,,handle_location,0,,false,0,
4,No-Amp-Handle,,handle_location,0,,false,0,
5,Side-Amp-Handles,,handle_location,0,,false,0,
6,Top-Amp-Handle & Side-Amp-Handles,,handle_location,0,,false,0,
7,Top-Angle,,angle_type,0,,false,0,
8,Mid-Angle,,angle_type,0,,false,0,
9,Full-Angle,,angle_type,0,,false,0,
10,Full-Curve,,angle_type,0,,false,0,
11,Mid-Curve,,angle_type,0,,false,0,
12,Top-Curve,,angle_type,0,,false,0,
13,Music Rest Design,,music_keyboard_designs,1,M,false,0,
14,2-in-1 Pocket,,no_user_input_required,1,P,false,2900,[2-in-1 Pocket]
15,Zipperized Top Amp Handle,,no_user_input_required,1,Z,false,1500,[Zipperized TAH]
16,No Angle,,angle_type,0,,false,0,
17,Top Depth,Needs to me a numerical value.,text_option,0,,false,0,
18,Angle Drop,Measure from top of amplifier to where angle ends or starts.,text_option,0,,false,0,
19,Top Handle Length,,text_option,0,,false,0,
20,Top Handle Height,,text_option,0,,false,0,
21,Top Handle: Rear Edge to Center,,text_option,0,,false,0,
22,Side Handle Width,,text_option,0,,false,0,
23,Side Handle Height,,text_option,0,,false,0,
24,Side Handle Top Edge to Center,,text_option,0,,false,0,
25,Side Handle Rear Edge to Center,,text_option,0,,false,0,
