id,equipment_type_id,design_option_id
1,1,2
2,2,2
3,3,2
4,4,2
5,5,2
6,6,2
12,1,4
13,2,4
14,3,4
15,4,4
16,5,4
17,6,4
18,1,5
19,2,5
20,3,5
21,4,5
22,5,5
23,6,5
24,1,6
25,2,6
26,3,6
27,4,6
28,5,6
29,6,6
30,1,7
31,2,7
32,3,7
33,4,7
34,5,7
35,6,7
36,1,8
37,2,8
38,3,8
39,4,8
40,5,8
41,6,8
42,1,9
43,2,9
44,3,9
45,4,9
46,5,9
47,6,9
48,1,10
49,2,10
50,3,10
51,4,10
52,5,10
53,6,10
54,1,11
55,2,11
56,3,11
57,4,11
58,5,11
59,6,11
60,1,12
61,2,12
62,3,12
63,4,12
64,5,12
65,6,12
84,1,3
85,2,3
86,3,3
87,4,3
88,5,3
89,1,16
90,2,16
91,3,16
92,4,16
93,5,16
94,6,16
95,8,16
96,1,17
97,2,17
98,3,17
99,4,17
100,5,17
101,6,17
102,1,18
103,2,18
104,3,18
105,4,18
106,5,18
107,6,18
108,1,19
109,2,19
110,3,19
111,4,19
112,5,19
113,6,19
114,1,20
115,2,20
116,3,20
117,4,20
118,5,20
119,6,20
126,1,22
127,2,22
128,3,22
129,4,22
130,5,22
131,6,22
132,1,23
133,2,23
134,3,23
135,4,23
136,5,23
137,6,23
138,1,24
139,2,24
140,3,24
141,4,24
142,5,24
143,6,24
144,1,25
145,2,25
146,3,25
147,4,25
148,5,25
149,6,25
150,1,21
151,2,21
152,3,21
153,4,21
154,5,21
155,6,21
161,9,13
168,1,14
169,2,14
170,3,14
171,4,14
172,5,14
173,1,15
174,2,15
175,3,15
176,4,15
177,5,15
178,6,15
