id,marketplace,external_store_id,started_at,finished_at,status,orders_fetched,orders_upserted,errors_count,error_summary
1,REVERB,,2026-01-21 01:24:29.577967,2026-01-21 01:24:30.907128,success,5,5,0,
2,REVERB,,2026-01-21 01:48:07.835195,2026-01-21 01:48:09.846421,success,50,50,0,
3,REVERB,,2026-01-21 01:48:58.575787,2026-01-21 01:49:00.538872,success,50,50,0,
4,REVERB,,2026-01-21 23:09:55.919981,2026-01-21 23:09:58.092318,success,5,5,0,
5,REVERB,,2026-01-21 23:10:15.007394,2026-01-21 23:10:16.749153,success,5,5,0,
6,REVERB,,2026-01-21 23:10:48.263914,2026-01-21 23:10:50.093436,success,5,5,0,
7,REVERB,,2026-01-21 23:18:33.607295,2026-01-21 23:18:35.635879,success,5,5,0,
8,REVERB,,2026-01-21 23:26:59.799706,2026-01-21 23:27:01.565248,success,1,1,0,
9,REVERB,,2026-01-21 23:32:22.643579,2026-01-21 23:32:24.399430,success,1,1,0,
10,REVERB,,2026-01-21 23:35:49.035738,2026-01-21 23:35:50.926182,success,1,1,0,
11,REVERB,,2026-01-22 00:34:22.699696,2026-01-22 00:34:24.671045,success,5,5,0,
12,REVERB,,2026-01-22 01:48:42.030055,2026-01-22 01:48:45.758298,success,2,2,0,
13,REVERB,,2026-01-22 02:04:19.329924,2026-01-22 02:04:22.925827,success,2,2,0,
14,REVERB,,2026-01-22 04:23:18.000175,2026-01-22 04:23:25.014023,success,5,5,0,
15,REVERB,,2026-01-22 04:34:55.258545,2026-01-22 04:35:03.341571,success,5,5,0,
16,REVERB,,2026-01-22 04:35:11.176174,2026-01-22 04:35:18.160907,success,5,5,0,
17,REVERB,,2026-01-28 17:10:06.392393,2026-01-28 17:10:14.340710,success,6,6,0,
18,REVERB,,2026-01-29 23:03:58.433551,2026-01-29 23:04:05.526057,success,5,5,0,
19,REVERB,,2026-01-31 05:58:36.351177,2026-01-31 05:58:42.929132,success,5,5,0,
