id,name,manufacturer_id
1,Hot Rod,1
3,Twin,1
4,JCM,2
5,DSL,2
6,Origin,2
7,Blues,1
8,Frontman,1
11,Champion II,1
12,Champion,1
13,Acoustasonic,1
14,Acoustic,1
15,American Hand-Wired,1
16,American Vintage,1
17,Bassbreaker,1
18,Bassman,1
19,Mustang,1
20,Rumble,1
21,Super-Sonic,1
22,Tone Master,1
23,CP,16
24,CK,16
25,DGX,16
26,Genos,16
27,MODX,16
28,Montage,16
29,Motif,16
30,MOX(F),16
31,MX,16
32,P-Series,16
33,Piaggero,16
34,PSR,16
35,reface,16
36,YC,16
37,YPT,16
38,PSS,16
39,EZ,16
40,ES,17
41,KDP,17
42,MP,17
43,VPC,17
44,CX,17
45,6505,18
46,Budda,18
47,Classic,18
48,Ecoustic,18
49,Headliner,18
50,invective,18
51,KB,18
52,MAX,18
53,Vypyr,18
54,TransTube,18
55,Nashville,18
56,Decade Too,18
57,Vypyr X,18
58,Super Festival,18
59,MegaBass,18
60,Nashville Session,18
61,Robert Randolph,18
62,Stage Right,19
63,Indio,19
64,LX,20
65,LH,20
66,TX,20
67,HA,20
69,HyDrive,20
70,XL,20
71,HD,20
72,Kickback,20
73,Casiotone,22
74,Privia,22
76,CT-X,22
77,Celviano,22
78,CDP,22
79,WK,22
80,SA,22
81,Artisan,23
82,Artist Signature,1
