id,rate_card_id,min_oz,max_oz,label,active
1,1,0.0,16.0,Under 1lb,0
2,1,16.0,80.0,1-5lbs,0
3,1,80.0,3000.0,Heavy,0
4,2,0.0,16000.0,Tier 1,1
5,1,0.0,4.0,<4 Oz,1
6,1,0.0,8.0,<8 Oz,1
7,1,0.0,12.0,<12 Oz,1
8,1,0.0,15.999,15.999,1
9,1,0.0,16.0,1 lb,1
10,1,0.0,32.0,2 lbs,1
11,1,0.0,48.0,3 lbs,1
12,1,0.0,64.0,4 lbs,1
13,1,0.0,80.0,5 lbs,1
14,3,0.0,4.0,<4 Oz,1
15,3,0.0,8.0,<8 Oz,1
16,3,0.0,12.0,<12 Oz,1
17,3,0.0,15.999,15.999,1
18,3,0.0,16.0,1 lb,1
19,3,0.0,32.0,2 lbs,1
20,3,0.0,48.0,3 lbs,1
21,3,0.0,60.0,4 lbs,1
