id,rate_card_id,tier_id,zone,rate_cents
1,1,1,7,1000
2,1,2,7,1500
3,1,3,7,2500
4,2,4,1,600
5,1,5,4,750
6,1,5,6,790
7,1,5,2,725
8,1,5,3,735
9,1,5,1,720
10,1,5,5,780
11,1,5,7,810
12,1,5,8,840
13,1,5,9,840
14,1,6,2,770
15,1,6,3,785
16,1,6,1,750
17,1,6,5,835
18,1,6,4,800
19,1,6,6,855
20,1,6,7,880
21,1,6,8,925
22,1,6,9,925
23,1,7,5,975
24,1,7,1,855
25,1,7,6,1000
26,1,7,3,905
27,1,7,2,885
28,1,7,4,930
29,1,7,7,1045
30,1,7,8,1110
31,1,7,9,1110
32,1,8,4,1010
33,1,8,5,1065
34,1,8,3,975
35,1,8,6,1100
36,1,8,1,910
37,1,8,2,945
38,1,8,7,1155
39,1,8,8,1245
40,1,8,9,1245
41,1,9,5,1065
42,1,9,4,1010
43,1,9,1,910
44,1,9,3,975
45,1,9,6,1100
46,1,9,2,945
47,1,9,7,1155
48,1,9,8,1245
49,1,9,9,1245
50,1,10,2,1045
51,1,10,4,1180
52,1,10,3,1105
53,1,10,6,1370
54,1,10,1,985
55,1,10,5,1280
56,1,10,7,1490
57,1,10,8,1715
58,1,10,9,1715
59,1,11,1,1025
60,1,11,5,1360
61,1,11,3,1145
62,1,11,6,1490
63,1,11,4,1240
64,1,11,2,1090
65,1,11,7,1705
66,1,11,8,2010
67,1,11,9,2010
68,1,12,3,1255
69,1,12,5,1535
70,1,12,4,1360
71,1,12,1,1130
72,1,12,2,1175
73,1,12,6,1700
74,1,12,8,2220
75,1,12,7,1925
76,1,12,9,2220
77,1,13,5,1625
78,1,13,3,1330
79,1,13,1,1195
80,1,13,6,1815
81,1,13,4,1445
82,1,13,2,1245
83,1,13,7,2060
84,1,13,8,2375
85,1,13,9,2375
86,3,14,1,730
87,3,14,2,745
88,3,14,4,770
89,3,14,8,875
90,3,14,6,810
91,3,14,5,795
92,3,14,3,755
93,3,14,7,830
94,3,14,9,875
95,3,15,3,755
96,3,15,5,795
97,3,15,2,745
98,3,15,6,810
99,3,15,4,770
100,3,15,1,730
101,3,15,7,830
102,3,15,8,875
103,3,15,9,875
104,3,16,2,920
105,3,16,4,980
106,3,16,3,945
107,3,16,5,1015
108,3,16,1,885
109,3,16,6,1050
110,3,16,7,1105
111,3,16,8,1195
112,3,16,9,1195
113,3,17,5,1015
114,3,17,4,980
115,3,17,2,920
116,3,17,6,1050
117,3,17,3,945
118,3,17,1,885
119,3,17,7,1105
120,3,17,8,1195
121,3,17,9,1195
122,3,18,3,945
123,3,18,1,885
124,3,18,5,1015
125,3,18,6,1050
126,3,18,2,920
127,3,18,4,980
128,3,18,7,1105
129,3,18,8,1195
130,3,18,9,1195
131,3,19,2,1065
132,3,19,4,1205
133,3,19,1,1000
134,3,19,6,1400
135,3,19,5,1305
136,3,19,3,1130
137,3,19,7,1525
138,3,19,8,1765
139,3,19,9,1765
140,3,20,3,1170
141,3,20,4,1270
142,3,20,6,1525
143,3,20,1,1045
144,3,20,2,1110
145,3,20,5,1385
146,3,20,7,1755
147,3,20,8,2075
148,3,20,9,2075
149,3,21,1,1135
150,3,21,4,1375
151,3,21,3,1265
152,3,21,2,1180
153,3,21,6,1695
154,3,21,5,1520
155,3,21,7,1935
156,3,21,8,2245
157,3,21,9,2245
